Outlet Name,Year Founded,Website,Zip Code,Location,State,Outlet Phone Number,Outlet Email,Primary Community Served,Community Served,Editorial Focus,Language,Primary Format,Format,Frequency,Primary Scope,Scope,X (formerly Twitter),Facebook,YouTube,Direct Verification
Sky Link TV: Los Angeles,1989,https://skylinktv.us/los-angeles-cajp,91770,"Rosemead, CA",California,(323) 888-0028,news@skylinktv.us ,Chinese-Speaking,Chinese American,,"Cantonese,Mandarin,Chinese (Traditional),English",Television,"Television,Radio,Website",Daily,National,National,https://twitter.com/skylinktv,https://www.facebook.com/skylinktv,https://www.youtube.com/user/SkyLinkNews,verified
Skylink TV USA: New York,1989,https://www.skylinktv.us/nyhome,11203,"Brooklyn, NY",New York,(212) 844-9542,news@skylinktv.us ,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Cantonese,Mandarin,Chinese (Traditional),English",Television,"Television,Website",24/7,Local,"Local,National",https://twitter.com/skylinktv,https://www.facebook.com/skylinktv,https://www.youtube.com/user/SkyLinkNews,
Slant'd,2017,https://www.slantd.com/,91709,"Chino Hills, CA",California,(909) 898-5406,hello@slantd.com,AAPI,"Native Hawaiian,East Asian American,Southeast Asian American,South Asian American,Asian American,Pacific Islander,Multiethnic","Literary, Arts",English,Magazine,"Magazine,Website",Annual,National,National,https://twitter.com/slantdcreative,https://www.facebook.com/slantdcreative,,verified
"Sound of Hope Radio on KSQQ 96.1 FM, KQEB-LP 96.9 FM and KVTO 1400 AM",2003,https://soundofhope.org/,94108,"San Francisco, CA",California,(415) 398-8038,terrysun@bayvoice.net,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",Conservative,Chinese (Traditional),Radio,"Radio,Newsletter,Website",Daily,National,"Local,National,Diasporic",,https://www.facebook.com/soh.soundofhope?ref=bookmarks,https://www.youtube.com/@SOH_TV,
South Asian American Digital Archive,2008,https://www.saada.org/,19103,"Philadelphia, PA",Pennsylvania,(215) 259-8055,info@saada.org,South Asian American,South Asian American,Archive and History,English,Digital Magazine,"Digital Magazine,Anthology,Website",Monthly,National,National,https://twitter.com/SAADAonline,https://facebook.com/saadaorg,https://www.youtube.com/@saadaorg,
Southern Chinese Daily News,1979,https://scdaily.com/,77072,"Houston, TX",Texas,(281) 498-4310,,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website",Daily,Local,Local,https://twitter.com/STVLIVEHOUSTON,https://facebook.com/SCdailynews,,
Southern Spice,2004,https://www.facebook.com/groups/southernspiceusa/,,"New York, NY",New Jersey,,southernspiceradio@gmail.com,Indian American,Indian American,Tamil and Carnatic Music,"Tamil,English",Radio,Radio,Daily,Local,"Local,National",,https://www.facebook.com/groups/southernspiceusa/,https://www.youtube.com/@southernspiceusa7324,
Soy Source,1992,https://soysource.net,98104,"Seattle, WA",Washington,(206) 519-5469,info@napost.com,Japanese American,Japanese American,,Japanese,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Bimonthly,Local,Local,https://twitter.com/soysource1992,https://www.facebook.com/SoySourceSeattle,https://www.youtube.com/@soysource7583,
Sri Lanka Reporter,1994,https://lankareporter.com/,,"Toronto, Ontario, Canada",International,(416) 302-0566,lankareporter@gmail.com,Sri Lankan American,Sri Lankan American,,English,Newspaper,"Newspaper,Newsletter,Website",Monthly,Diasporic,"National,Diasporic",,,,
St. Louis Chinese American News,1990,https://web.scanews.com/,63132,"St. Louis, MO",Missouri,(314) 780-1008,news.may@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,"Chinese (Traditional),English",Newspaper,"Newspaper,Digital Newspaper,Website,WeChat",Weekly,Local,Local,https://twitter.com/SCANews,https://www.facebook.com/stlchinese,,
St. Louis Chinese Journal (aka Kansas City Chinese Journal),1996,https://www.slcj.us,63132,"St. Louis, MO",Missouri,(314) 991-3747,slcj@slcjmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/profile.php?id=100064015930959&locale=zh_TW,,verified
STV 15.3,2009,http://www.southernnewsgroup.com/stv.html,77072,"Houston, TX",Texas,(281) 498-4310,,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Television,Television,Weekly,Local,Local,,https://facebook.com/STVHoustonLife/,https://www.youtube.com/@SouthernNews,
Sunbird Arizona Chinese Community,2011,https://sunbirdarizona.com/,,"Mesa, AZ",Arizona,(480) 287-0180,sunbirdarizona@gmail.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Website,"Website,WeChat",Daily,Local,Local,,,,
SungKhom Lao,2021,https://sungkhom-lao.captivate.fm/,30024,"Suwanee, GA",Georgia,(678) 971-9388,sungkhomlao99@gmail.com,Laotian American,Laotian American,,"Lao,English",Podcast,Podcast,Monthly,Local,Local,,,,
TaiwaneseAmerican.org,2006,https://taiwaneseamerican.org/,94709,"Berkeley, CA",California,,admin@taiwaneseamerican.org,Taiwanese American,Taiwanese American,,English,Website,"Website,Newsletter",Daily,National,National,https://facebook.com/TaiwaneseAmerican.org,https://twitter.com/TaiwaneseAm_org,https://youtube.com/@taiwaneseamericanorg/about,
Talanei,2014,https://www.talanei.com/,,"Tafuna, American Samoa",American Samoa,(684) 633-3393,monica@southseasbroadcasting.com,Samoan,Samoan,,"Samoan,English",Website,"Newsletter,Podcast,Website",Daily,Local,"Local,Diasporic",,,,
Talking Taiwan,2013,https://talkingtaiwan.com/,10113,"New York, NY",New York,,talkingtaiwanpodcast@gmail.com,Taiwanese American,Taiwanese American,,English,Podcast,Podcast,Weekly,National,National,,https://facebook.com/TalkingTaiwanPodcast,https://youtube.com/@talkingtaiwan,
Tam Su Voi,2022,https://gasiantimes.com/tam-su-voi/,30024,"Suwanee, GA",Georgia,(678) 971-9388,tamsuvoi88@gmail.com,Vietnamese American,Vietnamese American,,"Vietnamese,English",Podcast,Podcast,Monthly,Local,Local,,,,
Tamil America TV,2019,https://tamilamericatv.com/,08820,"Edison, NJ",New Jersey,(973) 692-8875,admin@tamilamericatv.com,Indian American,"Indian American,Sri Lankan American,South Asian American",,"Tamil,English",Television,"Television,Website",Daily,National,National,https://twitter.com/TamilAmerica,https://www.facebook.com/TamilAmericaTV,https://www.youtube.com/@TamilAmericaTV,
Tayo Help Desk,2020,https://www.tayohelp.com/,89706,"Carson City, NV",Nevada,(808) 291-9407,admin@tayohelp.com,Filipino American,Filipino American,Question and Answer,"Tagalog,English",Website,"Reports,Website",Bimonthly,National,National,https://twitter.com/tayohelp,https://www.facebook.com/TayoHelpDesk/,https://www.youtube.com/@tayohelp,verified
TBN24,2012,https://tbn24.com/,11377,"New York, NY",New York,(718) 808-9000,info@tbn24.com,Bangladeshi American,Bangladeshi American,,Bangla,Television,"Television,Website",24/7,National,"Local,National,Diasporic",https://twitter.com/tbn24usa,https://facebook.com/tbn24usa/,https://www.youtube.com/@Tbn24usa,verified
Tehran Magazine,1996,https://tehranmagazine.com,91436,"Encino, CA",California,(818) 881-1771,tehranmagazine@gmail.com,Iranian American,"Iranian American,Central Asian American",,Farsi,Magazine,"Magazine,Digital Magazine,Website",Weekly,Local,"Local,Diasporic",,,,
Telugu Patrika,1986,https://telugupatrika.net/,30041,"Cumming, GA",Georgia,,telugupatrikausa@gmail.com,Indian American,Indian American,,Telugu,Magazine,"Magazine,Digital Newspaper,Website",Monthly,National,National,,https://www.facebook.com/telugupatrikaUSA/,https://www.youtube.com/@telugupatrika4630,
Ten Thousand Things with Shin Yu Pai,2022,www.kuow.org/tenthousandthings,98105,"Seattle, WA",Washington,(206) 543-2710,letters@kuow.org,Asian American,Asian American,,English,Podcast,"Radio,Podcast",Seasonal,National,National,,,,verified
Tennessee Chinese News,2007,https://tncnnews.com/,37211,"Nashville, TN",Tennessee,(615) 977-8582,tncnnews@yahoo.com,Chinese-Speaking,"Chinese American,Chinese Diaspora",,Chinese (Simplified),Website,"Website,WeChat",Weekly,Local,"Local,National",,,,
Texas Chinese Channel KHCN 1050 AM,1995,https://nihaohouston.com/,77036,"Houston, TX",Texas,(713) 984-0424,texaschineseradio@gmail.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Mandarin,Radio,Radio,Daily,Local,Local,,https://facebook.com/texaschineseradio/,https://youtube.com/@TexasChineseRadio,
Thai LA Newspaper,1986,https://thailanewspaper.com/,90012,"Los Angeles, CA",California,(323) 276-5837,nidthaila@yahoo.com,Thai American,Thai American,,Thai,Newspaper,"Newspaper,Website",Bimonthly,Local,Local,,,,
Thang Long Newspaper,2000,,02122,"Dorchester, MA",Massachusetts,(617) 436-4036,nvietnam04@yahoo.om,Vietnamese American,Vietnamese American,,English,Newspaper,Newspaper,Weekly,Local,Local,,,,
Thằng Mõ Nam Cali,2002,https://baomonamcali.com/,91307,"Canoga Park, CA",California,(818) 884-8271,monamcali@yahoo.com,Vietnamese American,Vietnamese American,,Vietnamese,Magazine,"Magazine,Digital Magazine,Website",Weekly,Local,Local,,,,
Thằng Mõ Weekly Magazine,1948,https://thangmocali.com/,95110,"San Jose, CA",California,(408) 297-0545,thangmo918@gmail.com,Vietnamese American,Vietnamese American,,Vietnamese,Magazine,"Magazine,Digital Magazine,Website",Weekly,Local,Local,,https://www.facebook.com/thangmo.magazine/,,verified
The American Bazaar,2012,https://www.americanbazaaronline.com/,20874,"Germantown, MD",Maryland,(202) 709-7010,editor@americanbazaaronline.com,Indian American,Indian American,,English,Website,Website,Daily,National,"National,Diasporic",https://twitter.com/ambazaarmag,https://www.facebook.com/americanbazaaronline,https://www.youtube.com/@americanbazaar,
The Amp,2022,https://www.aaartsalliance.org/magazine,10018,"New York, NY",New York,(212) 941-9208,theamp@aaartsalliance.org,AAPI,"Asian American,Pacific Islander",Arts and Culture,English,Digital Magazine,Digital Magazine,Weekly,National,National,https://twitter.com/aaartsalliance,https://www.facebook.com/AsianAmericanArtsAlliance/,,verified
The Arab American News,1984,https://arabamericannews.com/,48126,"Dearborn, MI",Michigan,(313) 582-4888,info@arabamericannews.com,Arab American,Arab American,,"Arabic,English",Newspaper,"Newspaper,Website,Newsletter",Weekly,National,National,https://twitter.com/theaanews,https://facebook.com/TheAANews/,,
The Armenian Mirror Spectator,1932,https://mirrorspectator.com/,02472,"Watertown, MA",Massachusetts,(617) 924-4420,editor@mirrorspectator.com,Armenian American,Armenian American,,English,Newspaper,"Newspaper,Website",Weekly,National,National,https://twitter.com/MirrorSpectator,https://www.facebook.com/MirrorSpectator/,https://www.youtube.com/@thearmenianmirror-spectato1935,
The Balita and Weekend Balita,1991,https://balita.com/,91214,"La Crescenta, CA",California,(818) 552-4503,publisher@balita.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Website",Biweekly,Local,Local,https://twitter.com/balitamedia,https://www.facebook.com/WeekendBalita/,https://www.youtube.com/@weekendbalita,verified
The California Courier,1958,https://thecaliforniacourier.com/,91221,"Glendale, CA",California,,californiacourier@gmail.com,Armenian American,Armenian American,,English,Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/harut.sassounian,https://www.youtube.com/@megaunited100,
The China Press (Qiao Bao / Overseas Chinese News),1990,https://uschinapress.com/,10016,"New York, NY",New York,(212) 683-8282,info@chinapress.net,Chinese-Speaking,"Chinese American,Chinese Diaspora",,"Chinese (Simplified),Chinese (Traditional)",Newspaper,"Newspaper,Website,Newsletter",Daily,National,National,https://twitter.com/thechinapress,https://facebook.com/thechinapress/,,verified
The Desi Buzz,,https://thedesibuzz.com/,,,,,info@thedesibuzz.com ,South Asian American,"Bangladeshi American,Indian American,Pakistani American,Sri Lankan American,South Asian American","South Asian Diaspora in the Americas, Europe, Asia, Africa, and the Middle East",English,Website,Website,Daily,Diasporic,Diasporic,"https://x.com/Thedesibuzz
",https://www.facebook.com/TheDesiBuzz,https://www.youtube.com/@TheDesiBuzz,verified
The Family Court Report,2023,https://www.familycourtreport.org/,98195,"Seattle, WA",Washington,(206) 427-3217,kristin@familycourtreport.org,AAPI,"Asian American,Pacific Islander,Multiethnic",Family Court,English,Website,"Podcast,Newsletter,Website",Weekly,National,National,https://twitter.com/FamCourtReport,https://www.facebook.com/FamCourtReport,,verified
The FilAm,2011,https://thefilam.net/,08837,"Edison, NJ",New Jersey,(646) 717-7460,thefilamny@gmail.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Website",Monthly,Local,Local,https://twitter.com/thefilamnet,www.facebook.com/TheFilamNet/,,verified
The Filipino Press,1986,https://thefilipinopress.com/,91950,"National City, CA",California,(619) 434-1720,info@thefilipinopress.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://facebook.com/FilipinoPress,,verified
The GFN Channel,2020,,,"San Francisco, CA",California,,info@gfnchannel.com,Filipino American,Filipino American,,English,Television,Television,Daily,National,"Local,National,Diasporic",,https://www.facebook.com/GFNChannel,https://www.youtube.com/@GlobalFIlipinoNetTV,
The Hakkatha,2020,https://hakkatha.com/,11432,"New York, NY",New York,(347) 848-3834,hakkathany@gmail.com,Bangladeshi American,Bangladeshi American,,"Bangla,English",Newspaper,"Newspaper,Website",Weekly,Local,"Local,Diasporic",,https://www.facebook.com/thehakkatha/,,verified
The Hawaii Filipino Chronicle,1993,https://thefilipinochronicle.com/,96797,"Waipahu, HI",Hawaii,(808) 678-8930,filipinochronicle@gmail.com,Filipino American,Filipino American,,English,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Bimonthly,Local,Local,https://twitter.com/HiFilChronicle,https://www.facebook.com/TheFilipinoChronicle,,
The Husk Newsletter,2021,https://thehusk.substack.com/,,"Hagåtña, Guam",Guam,,jasminesw098@gmail.com.,Micronesian,"Chuukese,Kosraean,Marshallese,Palauan,Pohnpeian,Yapese,Micronesian,Pacific Islander",,English,Newsletter,Newsletter,Biweekly,Diasporic,Diasporic,,,,
The Indian EYE Newsweekly,2004,https://theindianeye.com/,08854,"Piscataway, NJ",New Jersey,(646) 907-8022,Info@TheIndianEYE.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Diasporic,"National,Diasporic",https://twitter.com/theindianeye,https://www.facebook.com/theindianeye.net/,https://www.youtube.com/@theindianeyetelevision8588,
The Indian Panorama,2006,https://theindianpanorama.news/,11801,"Hicksville, NY",New York,(646) 431-4064,editor@theindianpanorama.com,Indian American,Indian American,,English,Newspaper,"Newspaper,Newsletter,Website",Weekly,National,National,https://twitter.com/theindpanorama,https://www.facebook.com/theindianpanorama/,,verified
The Juggernaut,2017,https://thejuggernaut.com/,10002,"New York, NY",New York,(845) 640-3848,hi@thejuggernaut.com,South Asian American,South Asian American,,English,Digital Magazine,"Digital Magazine,Newsletter,Website",Daily,National,"National,Diasporic",https://twitter.com/bethejuggernaut,https://facebook.com/bethejuggernaut,https://youtube.com/channel/UCP6qX7Ukp7M84bFJMHDuO-Q,verified
The Khmer Post Media Center,2007,http://www.thekhmerposts.com/,92780,"Tustin, CA",California,(562) 810-4162,info@thekhmerposts.com,Cambodian American,Cambodian American,,"Khmer,English",Newspaper,"Newspaper,Radio,Website",Monthly,Local,Local,https://twitter.com/TheKhmerPost,https://facebook.com/khmerpostradio/,https://www.youtube.com/@khmersocialnews7016,
The Korea Daily / JoongAng Ilbo: Atlanta,2006,https://koreadaily.com/index_AT.html,30096,"Duluth, GA",Georgia,(770) 242-0099,news@atlantajoongang.com,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,"Local,National",,https://www.facebook.com/kdatl/,https://www.youtube.com/@koreadaily-atlanta6412,
The Korea Daily / JoongAng Ilbo: Chicago,1975,https://koreadaily.com/index_CH.html,60008,"Rolling Meadows, IL",Illinois,(847) 228-7200,chicago@koreadaily.com,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,"Local,National",,https://www.facebook.com/koreadailychicago/,https://www.youtube.com/@koreadailychicago782,
The Korea Daily / JoongAng Ilbo: Los Angeles,1974,https://koreadaily.com/index.html,90005,"Los Angeles, CA",California,(213) 368-2525,koreadaily525@gmail.com,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/koreadailycom,https://www.facebook.com/koreadaily,https://www.youtube.com/@Korea_Daily,
The Korea Daily / JoongAng Ilbo: New York,1983,https://atl.koreadaily.com/index_NY.html,11101,"Long Island City, NY",New York,(718) 361-7700,dailykorea@gmail.com,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/KoreaDailyNY,https://www.facebook.com/ny.koreadaily,https://www.youtube.com/@ThekoreadailyNY,verified
The Korea Daily / JoongAng Ilbo: San Diego,2005,https://koreadaily.com/index_SD.html,92111,"San Diego, CA",California,(858) 573-1111,,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,"Local,National",https://twitter.com/koreadailysd,https://www.facebook.com/KoreaDailySanDiego/,,
"The Korea Daily / JoongAng Ilbo: Washington, D.C.",2008,https://koreadaily.com/index_DC.html,22003,"Annandale, VA",Virginia,(703) 281-9660,dcnews@koreadaily.com,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,"Local,National",,https://www.facebook.com/koreadailydc/,,
The Korea Times / Hankook Ilbo North America: San Francisco,1969,https://sf.koreatimes.com/,94621,"Oakland, CA",California,(510) 777-1111,infosf@koreatimes.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Radio,Television,Website",Daily,Local,"Local,National",https://twitter.com/koreatimes,https://facebook.com/koreatimes,,
The Korean American Journal,2016,https://koamjournal.com/,,"Houston, TX",Texas,,info@koamjournal.com,Korean American,Korean American,,Korean,Website,Website,Weekly,Local,Local,,,,
The Korean American Journal of St. Louis (aka Hankyoreh Journal),1991,https://kajstl.com/,63132,"St. Louis, MO",Missouri,(314) 785-0222,kajstl1191@gmail.com,Korean American,Korean American,,"Korean,English",Digital Newspaper,"Digital Newspaper,Website",Monthly,Local,Local,,,,
The Korean Bergen News,2005,https://www.kbergennews.com/,07024,"Fort Lee, NJ",New Jersey,(201) 894-9061,koreanbergennews@gmail.com ,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/pages/The%20Korean%20Bergen%20News/659517320727566/,https://www.youtube.com/@KoreanBergenNews,
The Korean Channel (aka TKCTV),1986,https://tkctv.com/,11354,"Flushing, NY",New York,(718) 353-8970,tkctvdesk@hotmail.com,Korean American,Korean American,,Korean,Television,"Television,Website",24/7,Local,Local,https://twitter.com/TheKoreanCh,https://facebook.com/TKCTVONAIR,https://youtube.com/user/TkCTv,
The Kurdish Project,2015,https://thekurdishproject.org/,94105,"San Francisco, CA",California,,admin@thekurdishproject.org,Kurdish American,"Kurdish American,Iranian American,Iraqi American,Syrian American,Turkish American,Middle Eastern American",History and Culture,English,Website,"Website,Newsletter",Weekly,Diasporic,Diasporic,https://twitter.com/KurdishProject,https://www.facebook.com/TheKurdishProject,,
The Laban Group,2021,https://www.everydayimpactconsulting.com/labangroup,95814,"Sacramento, CA",California,,info@everydayimpactconsulting.com,Filipino American,Filipino American,Anti-Asian Hate,English,Newsletter,Newsletter,Monthly,Local,Local,,https://www.facebook.com/everydayimpactconsulting,,
The Los Angeles Post,2004,https://lapost.us/,91748,"Rowland Heights, CA",California,,,Chinese American,"Chinese American,Chinese Diaspora",,English,Website,Website,Monthly,Local,Local,,,,
The Margins,2012,https://aaww.org/the-margins/,10001,"New York, NY",New York,(212) 494-0061,desk@aaww.org,AAPI,"Asian American,Pacific Islander,Multiethnic",Literary,English,Digital Magazine,"Digital Magazine,Anthology,Website",Monthly,National,National,https://twitter.com/aaww?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://facebook.com/AsianAmericanWritersWorkshop/,https://www.youtube.com/@AAWWNYC,verified
The Markaz Review,2020,https://themarkaz.org/,90028,"Los Angeles, CA",California,,editor@themarkaz.org,Arab American,"Arab American,Afghan American,Iranian American,Pakistani American,Turkish American,Middle Eastern American","Arts, Literature, and Culture, with an emphasis on Free Expression","English,French,Spanish",Website,"Magazine,Newsletter,Podcast,Website",Weekly,Diasporic,Diasporic,https://x.com/TheMarkazReview,https://www.facebook.com/themarkaz.org,,
The Michigan Korean Weekly (aka J+MiKorean),2001,https://michigankoreans.com,48108,"Ann Arbor, MI",Michigan,(248) 444-8844,mkweekly@gmail.com,Korean American,Korean American,,"Korean,English",Newspaper,"Newspaper,Website",Weekly,Local,Local,https://twitter.com/MKW34633062; https://twitter.com/MichiganKorean,https://www.facebook.com/MIkoreanweekly,https://www.youtube.com/@Kimmeus,
The Muslim Observer,1999,https://www.muslimobserver.com/,48336,"Farmington, MI",Michigan,(248) 426-7777,info@muslimobserver.com,Asian American,"Arab American,South Asian American,Multiethnic,Asian American",Muslim,English,Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,"https://x.com/MulsimObserver
",https://www.facebook.com/MuslimObserver,,
The New York Ilbo,2009,https://newyorkilbo.com/,11358,"Flushing, NY",New York,(718) 939-0900,edit@newyorkilbo.com,Korean American,Korean American,,Korean,Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,Local,,https://facebook.com/newilmooii/,https://youtube.com/channel/UCz3euU-DwhmJWZ1hgn5nKKQ,verified
The NRI Nation,2021,https://www.mynrination.com/,02134,"Allston, MA",Massachusetts,,info@mynrination.com,Indian American,"Indian American,Indo-African American,Indo-Caribbean American",,English,Website,Website,Weekly,Diasporic,Diasporic,https://twitter.com/theNRInation,https://www.facebook.com/thenrination/,,verified
The Palestine Chronicle,1999,https://palestinechronicle.com/,98043,"Mountlake Terrace, WA",Washington,,info@palestinechronicle.com,Palestinian American,"Palestinian American,Arab American",Human Rights ,"English,French,Italian",Website,"Television,Podcast,Newsletter,Anthology,Website",Daily,National,National,https://twitter.com/PalestineChron,https://facebook.com/palestinechronicle/?ref=ts,https://youtube.com/channel/UC2J3olQxMEQLEmpzisRVzpg/,
The Pasupu,2020,https://thepasupu.blog/,60607,"Chicago, IL",Illinois,,thepasupublog@gmail.com,Indian American,"Indian American,South Asian American","South Indian American, Gen-Z",English,Website,Website,Weekly,National,National,https://twitter.com/shreyagiduturi,https://facebook.com/thepasupu,,
The Persian Book Review (aka Barrasi ye Ketaab),1965,https://persianbook.review/,90265,"Malibu, CA",California,(310) 266-6131,,Iranian American,Iranian American,Literary,"Farsi,English",Magazine,"Magazine,Website",Quarterly,National,National,,,,
The Polis Project,2017,https://www.thepolisproject.com/,,"New York, NY",New York,,info@thepolisproject.com,Indian American,"Indian American,Pakistani American,Bangladeshi American,South Asian American,Multiethnic",Human Rights and Anti-Authoritarian,English,Website,"Podcast,Newsletter,Reports,Website",Weekly,Diasporic,Diasporic,https://twitter.com/project_polis,https://www.facebook.com/polisproject,https://www.youtube.com/@thepolisproject,verified
The Return of the Gidra,2019,https://gidramedia.com/,,"Los Angeles, CA",California,,gidrareturns@gmail.com,Asian American,"Japanese American,Korean American,Asian American",,English,Magazine,"Magazine,Website",Quarterly,National,National,,https://www.facebook.com/gidramedia,,
The Runner News,2013,https://therunnernewsusa.com/,,"Jackson Heights, NY",New York,(646) 898-9424,weeklyrunnerusa@gmail.com,Bangladeshi American,"Bangladeshi American,South Asian American",,"Bangla,English",Newspaper,Newspaper,Weekly,Local,Local,,,,
The South Asian Insider Weekly,2002,https://thesouthasianinsider.com,11801,"New York, NY",New York,(917) 612-3158,thesouthasianinsider@gmail.com,Indian American,"Indian American,South Asian American",,English,Newspaper,"Newspaper,Digital Newspaper,Television,Website",Weekly,National,"Local,National,Diasporic","https://twitter.com/thesouthasian
",https://facebook.com/insiderweekly/,www.youtube.com/@JoshIndiaTV,verified
The South Asian Times,2008,https://thesouthasiantimes.info,11746,"Dix Hills, NY",New York,(516) 390-7847,Info@TheSouthAsianTimes.info,Indian American,"Indian American,South Asian American",,English,Newspaper,"Newspaper,Digital Newspaper,Newsletter,Website",Weekly,Local,"Local,National",https://twitter.com/TheRealSATimes,https://facebook.com/SouthAsianTimes/,https://www.youtube.com/@thesouthasiantimes6676,verified
The United Chinese News of Florida,2001,https://unitedchinesenews.com/index.htm,33166,"Miami, FL",Florida,(305) 262-0662,info@unitedchinesenews.com,Chinese-Speaking,"Chinese American,Taiwanese American,Chinese Diaspora",,Chinese (Traditional),Newspaper,"Newspaper,Website,WeChat",Weekly,Local,Local,,https://www.facebook.com/UCNFlorida,,
The VietNam Post,1975,https://thevietnampost.com/,77036,"Houston, TX",Texas,(713) 777-4900,info@thevietnampost.com,Vietnamese American,"Vietnamese American,Asian American",,"Vietnamese,English",Newspaper,"Newspaper,Digital Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/vietnampost1/,,verified
The Vietnamese Magazine,2017,https://www.thevietnamese.org/,95616,"Davis, CA",California,(669) 400-1567,editor@thevietnamese.org,Vietnamese American,Vietnamese American,Politics,"Vietnamese,English",Digital Magazine,"Digital Magazine,Newsletter,Website",Weekly,Diasporic,Diasporic,https://twitter.com/thevnmesemag?lang=en,https://www.facebook.com/thevietnamese.org,,
The Weekly Morning Korean News,2003,http://weeklymorning.com/cms/,95050,"Santa Clara, CA",California,(408) 248-0017,weeklymorning@gmail.com,Korean American,Korean American,,Korean,Newspaper,Newspaper,Weekly,Local,Local,,,,
The West Indian,,https://thewestindianonline.com,10044,"New York, NY",New York,(347) 432-3465,westindiannews@gmail.com,Indo-Caribbean American,"Indo-Caribbean American,Caribbean American,West Indian American",,English,Newspaper,"Newspaper,Website",Monthly,Local,Local,,https://facebook.com/thewestindiannews/,,
The Xylom,2018,https://www.thexylom.com/,30309,"Atlanta, GA",Georgia,,info@thexylom.com,Asian American,"Indian American,Nepali American,Chinese American,Hong Kong Chinese American,Asian American","Science
","Cantonese,Chinese (Simplified),Chinese (Traditional),Nepali,Hindi,Tagalog,Spanish,English",Website,"Newsletter,Website",Weekly,Diasporic,"National,Diasporic",twitter.com/thexylom,facebook.com/thexylom,,verified
The Yappie,2019,https://theyappie.com/,,"Washington, D.C.","Washington, D.C.",,editors@theyappie.com,AAPI,"Asian American,Pacific Islander,Multiethnic",,English,Website,"Website,Newsletter",Weekly,National,National,https://twitter.com/TheYappie,https://www.facebook.com/theyappie,https://www.youtube.com/@theyappie6444,verified
Thikana,1990,https://thikana.us,11372,"Jackson Heights, NY",New York,(718) 472-0700,wthikana@aol.com,Bangladeshi American,Bangladeshi American,,Bangla,Newspaper,"Newspaper,Website",Weekly,Local,Local,,https://www.facebook.com/Thikananews/,https://www.youtube.com/@thikananewsusa,verified
Thương Mại Việt Nam,1975,https://thevietnampost.com/,77036,"Houston, TX",Texas,(713) 777-4900,info@thevietnampost.com,Vietnamese American,Vietnamese American,,"Vietnamese,English",Newspaper,"Newspaper,Digital Newspaper,Website",Daily,Local,Local,,,,
Thương Mại Weekend Journal,1975,https://thevietnampost.com/,77036,"Houston, TX",Texas,(713) 777-4900,info@thevietnampost.com,Vietnamese American,Vietnamese American,,"Vietnamese,English",Magazine,"Magazine,Digital Magazine,Website",Weekly,Local,Local,,,,
Tia Belau Newspaper,1972,https://tiabelaunews.com/,96940,"Koror, Palau",Palau,(680) 488-3131,tiabelaunewspaper@gmail.com,Palauan,Palauan,,English,Newspaper,"Newspaper,Digital Newspaper,Website",Biweekly,Local,Local,,https://www.facebook.com/tiabelau1/,,
